LineUID,FromDeliverableID,FromPackageID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,SourceSnapshot
DEL-02-02::L-033,DEL-02-02,PKG-002,L-033,03-CONCRETE,PKG-002,DEL-02-02,Medical/EMS storage room -- sealed concrete floor (5.6 m2),5.6,m2,35,196,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08,MED,See ASM-008.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-034,DEL-02-02,PKG-002,L-034,09-FINISHES,PKG-002,DEL-02-02,Medical/EMS storage room -- suspended ACT ceiling (5.6 m2),5.6,m2,68,381,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-05,MED,See ASM-008.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-035,DEL-02-02,PKG-002,L-035,09-FINISHES,PKG-002,DEL-02-02,Medical/EMS storage room -- paint walls (20 m2),20,m2,13,260,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-12,MED,See ASM-008.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-036,DEL-02-02,PKG-002,L-036,09-FINISHES,PKG-002,DEL-02-02,Medical/EMS storage room -- hollow metal door + hardware (1 opening),1,each,2400,2400,CAD,RATE_TABLE,Building_Envelope_Rates.csv / BE-11 ($1800) + BE-13 ($600),MED,Single HM door + frame + hardware set.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-037,DEL-02-02,PKG-002,L-037,09-FINISHES,PKG-002,DEL-02-02,Decon area -- hollow metal door + hardware (2 openings),2,each,2400,4800,CAD,RATE_TABLE,Building_Envelope_Rates.csv / BE-11 ($1800) + BE-13 ($600),MED,Decon room entry + shower/WR access. 2 openings.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-038,DEL-02-02,PKG-002,L-038,09-FINISHES,PKG-002,DEL-02-02,Bunker gear locker room -- hollow metal door + hardware (1 opening),1,each,2400,2400,CAD,RATE_TABLE,Building_Envelope_Rates.csv / BE-11 ($1800) + BE-13 ($600),MED,Main entry to locker room.,EST_DEL-02-02_2026-02-18_1036
DEL-02-03::L-001,DEL-02-03,PKG-002,L-001,21.03.01,PKG-002,DEL-02-03,Sealed concrete floor finish — PW shop bays (densifier + sealer; grind + polish),780,m2,35,27300,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-08,MED,4 bays x 2100 sf/bay = 8400 sf = 780 m2; rate from IA-08 RecommendedRate $35/m2,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-002,DEL-02-03,PKG-002,L-002,21.03.01,PKG-002,DEL-02-03,Sealed concrete floor finish — workshop area,74,m2,35,2590,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-08,MED,800 sf workshop = 74 m2; same finish as bays,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-003,DEL-02-03,PKG-002,L-003,21.03.01,PKG-002,DEL-02-03,Sealed concrete floor finish — warehouse/storage area,56,m2,35,1960,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-08,MED,600 sf storage = 56 m2; same finish as bays,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-004,DEL-02-03,PKG-002,L-004,21.03.02,PKG-002,DEL-02-03,Exposed structure paint — PW shop bay ceilings,780,m2,22,17160,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-07,MED,Spray-apply latex to exposed structure in 4 bays,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-005,DEL-02-03,PKG-002,L-005,21.03.02,PKG-002,DEL-02-03,Exposed structure paint — workshop ceiling,74,m2,22,1628,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-07,MED,Workshop area ceiling,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-006,DEL-02-03,PKG-002,L-006,21.03.02,PKG-002,DEL-02-03,Compressed air piping — hard-plumbed through bays,1,LS,15000,15000,CAD,ALLOWANCE,Assumptions_Log.md#ASM-008,LOW,Functional Program Rows 27-28 require hard-plumbed air lines; no rate table item; allowance used per FALLBACK_POLICY,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-007,DEL-02-03,PKG-002,L-007,21.03.02,PKG-002,DEL-02-03,Shop bay interior wall paint (epoxy/semi-gloss; washable),320,m2,20,6400,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-13,MED,Bay perimeter walls within PW zone; estimated 320 m2 total wall area across 4 bays,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-008,DEL-02-03,PKG-002,L-008,21.03.03,PKG-002,DEL-02-03,Workshop workbench and welding area fit-up,1,LS,22000,22000,CAD,ALLOWANCE,Equipment_Pricing.csv#EQ-13,LOW,Workshop equipment allowance: bench grinder; drill press; workbench; storage; per PW functional needs,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-009,DEL-02-03,PKG-002,L-009,21.03.03,PKG-002,DEL-02-03,Warehouse/parts storage shelving and racking,1,LS,12000,12000,CAD,ALLOWANCE,Assumptions_Log.md#ASM-009,LOW,Industrial shelving/racking for parts storage; no rate table item; allowance per FALLBACK_POLICY,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-010,DEL-02-03,PKG-002,L-010,21.03.04,PKG-002,DEL-02-03,PW lockers — heavy-duty full-height (40 units),40,each,1000,40000,CAD,RATE_TABLE,Equipment_Pricing.csv#EQ-07,MED,40 standard heavy-duty personnel lockers per functional program; RecommendedPrice $1000/each,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-011,DEL-02-03,PKG-002,L-011,21.03.04,PKG-002,DEL-02-03,PPE/locker room — ceramic tile flooring (shower/wet areas),56,m2,118,6608,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-10,MED,Shower and change area wet zones; ~600 sf = 56 m2; rate from IA-10,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-012,DEL-02-03,PKG-002,L-012,21.03.04,PKG-002,DEL-02-03,PPE/locker room — sealed concrete flooring (dry areas),55,m2,35,1925,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-08,MED,Dry locker area; ~600 sf = 55 m2,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-013,DEL-02-03,PKG-002,L-013,21.03.04,PKG-002,DEL-02-03,PPE/locker room — moisture-resistant partitions,65,m2,132,8580,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-04,MED,Shower stall partitions and wet area walls; ~65 m2 estimated,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-014,DEL-02-03,PKG-002,L-014,21.03.04,PKG-002,DEL-02-03,PPE/locker room — suspended gypsum ceiling (washroom/shower),111,m2,102,11322,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-06,MED,Full locker room area 1200 sf = 111 m2; moisture-rated ceiling,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-015,DEL-02-03,PKG-002,L-015,21.03.04,PKG-002,DEL-02-03,PPE/locker room — epoxy wall paint,180,m2,20,3600,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-13,MED,All locker room walls; estimated 180 m2,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-016,DEL-02-03,PKG-002,L-016,21.03.04,PKG-002,DEL-02-03,PPE/locker room — washroom accessories package (2 washrooms),2,each,800,1600,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-24,MED,Dispensers + mirrors + shelves per washroom,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-017,DEL-02-03,PKG-002,L-017,21.03.04,PKG-002,DEL-02-03,PPE/locker room — toilet partitions (4 stalls),4,each,1500,6000,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-25,MED,Phenolic partitions; 2 per washroom x 2 washrooms,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-018,DEL-02-03,PKG-002,L-018,21.03.04,PKG-002,DEL-02-03,PPE/locker room — grab bars + accessible fittings (2 washrooms),2,each,1100,2200,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-17,MED,Stainless steel grab bars per accessible washroom,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-019,DEL-02-03,PKG-002,L-019,21.03.04,PKG-002,DEL-02-03,PPE/locker room — vanity countertops,3,lm,575,1725,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-22,MED,Solid surface countertops; ~3 lm total across 2 washroom vanities,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-020,DEL-02-03,PKG-002,L-020,21.03.04,PKG-002,DEL-02-03,PPE/first aid room — fit-up,1,LS,3500,3500,CAD,ALLOWANCE,Assumptions_Log.md#ASM-010,LOW,First aid equipment; PPE storage; food washing area; 100-150 sf room; no rate table item,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-021,DEL-02-03,PKG-002,L-021,21.03.05,PKG-002,DEL-02-03,Shop office — sealed concrete floor,19,m2,35,665,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-08,MED,200 sf = 19 m2; sealed concrete per OSR direction,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-022,DEL-02-03,PKG-002,L-022,21.03.05,PKG-002,DEL-02-03,Shop office — suspended acoustic tile ceiling,19,m2,68,1292,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-05,MED,Standard T-bar ACT for office area,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-023,DEL-02-03,PKG-002,L-023,21.03.05,PKG-002,DEL-02-03,Shop office — wall paint (standard latex),50,m2,13,650,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-12,MED,Office perimeter walls; ~50 m2 estimated,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-024,DEL-02-03,PKG-002,L-024,21.03.05,PKG-002,DEL-02-03,Shop washroom — ceramic tile floor,9,m2,118,1062,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-10,MED,100 sf = 9 m2; washroom floor,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-025,DEL-02-03,PKG-002,L-025,21.03.05,PKG-002,DEL-02-03,Shop washroom — moisture-resistant partitions,18,m2,132,2376,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-04,MED,Washroom walls; ~18 m2,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-026,DEL-02-03,PKG-002,L-026,21.03.05,PKG-002,DEL-02-03,Shop washroom — suspended gypsum ceiling,9,m2,102,918,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-06,MED,Moisture-rated ceiling,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-027,DEL-02-03,PKG-002,L-027,21.03.05,PKG-002,DEL-02-03,Shop washroom — epoxy wall paint,18,m2,20,360,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-13,MED,Epoxy paint for wet area,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-028,DEL-02-03,PKG-002,L-028,21.03.05,PKG-002,DEL-02-03,Shop washroom — accessories package,1,each,800,800,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-24,MED,Dispensers + mirrors + shelves,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-029,DEL-02-03,PKG-002,L-029,21.03.05,PKG-002,DEL-02-03,Shop washroom — grab bars + accessible fittings,1,each,1100,1100,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-17,MED,Accessible washroom per ABC,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-030,DEL-02-03,PKG-002,L-030,21.03.05,PKG-002,DEL-02-03,Shop washroom — toilet partition,1,each,1500,1500,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-25,MED,Single stall partition,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-031,DEL-02-03,PKG-002,L-031,21.03.05,PKG-002,DEL-02-03,Shop washroom — vanity countertop,1,lm,575,575,CAD,RATE_TABLE,Interior_Architectural_Rates.csv#IA-22,MED,Solid surface; 1 lm,EST_DEL-02-03_2026-02-18_1100
DEL-02-03::L-032,DEL-02-03,PKG-002,L-032,21.03.04,PKG-002,DEL-02-03,PPE/locker room — shower fixtures and plumbing rough-in (2 standalone showers),1,LS,8000,8000,CAD,ALLOWANCE,Assumptions_Log.md#ASM-011,LOW,2 standalone showers per functional program; includes shower valves + drains + waterproofing; no specific rate table item for showers,EST_DEL-02-03_2026-02-18_1100
DEL-02-04::L-001,DEL-02-04,PKG-002,L-001,03-CONCRETE,PKG-002,DEL-02-04,Screw piles - installed (galvanized; 6-8m depth; Penhold soils),48,each,3000,144000,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-14; qty per ASM-07,MED,Assumed 48 piles at ~3.5m spacing around perimeter + interior column lines; DB to confirm during design,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-002,DEL-02-04,PKG-002,L-002,03-CONCRETE,PKG-002,DEL-02-04,Pile caps / grade beams - concrete 32 MPa (supplied and placed),38,m3,385,14630,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-02; qty per ASM-08,MED,Pile cap concrete volume: 48 caps x ~0.4m3 avg + grade beams ~19m3,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-003,DEL-02-04,PKG-002,L-003,03-CONCRETE,PKG-002,DEL-02-04,Foundation formwork - pile caps and grade beams,180,m2,65,11700,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-05; qty per ASM-09,MED,Formwork for pile caps and grade beams combined,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-004,DEL-02-04,PKG-002,L-004,03-CONCRETE,PKG-002,DEL-02-04,Foundation wall formwork (frost wall / stem wall at perimeter),165,m2,75,12375,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-06; qty per ASM-10,MED,Perimeter frost wall 165 lm x ~1.0m height avg both sides,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-005,DEL-02-04,PKG-002,L-005,03-CONCRETE,PKG-002,DEL-02-04,Reinforcing steel - foundations (cut/bent/placed),4800,kg,3.25,15600,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-07; qty per ASM-11,MED,~100 kg/pile cap avg + grade beam rebar,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-006,DEL-02-04,PKG-002,L-006,03-CONCRETE,PKG-002,DEL-02-04,Concrete slab-on-grade - 200mm reinforced (bay areas),1115,m2,108,120420,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-04; qty per PP-05 / ASM-03,MED,Heavy-duty slab for 8 apparatus/shop bays; ~12000 sf = 1115 m2,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-007,DEL-02-04,PKG-002,L-007,03-CONCRETE,PKG-002,DEL-02-04,Concrete slab-on-grade - 150mm with W/W mesh (office/shared areas),557,m2,85,47345,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-03; qty per PP-05 / ASM-04,MED,Standard slab for office and shared spaces; ~6000 sf = 557 m2,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-008,DEL-02-04,PKG-002,L-008,03-CONCRETE,PKG-002,DEL-02-04,Anchor bolts - set in concrete (column base plates),96,each,45,4320,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-15; qty per ASM-12,MED,2 bolts per pile cap x 48 piles (conservative; some caps may have 4),EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-009,DEL-02-04,PKG-002,L-009,05-STEEL,PKG-002,DEL-02-04,Structural steel - primary framing (W-shapes and HSS; fabricated and erected),42000,kg,6.50,273000,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-08; qty per ASM-13,MED,~25 kg/m2 of footprint x 1672 m2 = ~42000 kg primary steel,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-010,DEL-02-04,PKG-002,L-010,05-STEEL,PKG-002,DEL-02-04,Open-web steel joists (roof framing; supplied and erected),1672,m2,52,86944,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-10; qty = building footprint area,MED,Clear-span OWSJ for roof over full footprint,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-011,DEL-02-04,PKG-002,L-011,05-STEEL,PKG-002,DEL-02-04,Metal roof deck (supplied and installed),1672,m2,42,70224,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-11; qty = building footprint area,MED,22 ga or 20 ga deck over full footprint,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-012,DEL-02-04,PKG-002,L-012,05-STEEL,PKG-002,DEL-02-04,Structural steel - miscellaneous (stairs/handrails/platforms),3500,kg,9.00,31500,CAD,RATE_TABLE,Structural_Concrete_Rates.csv > SC-09; qty per ASM-14,MED,Stairs; mezzanine platforms if any; handrails; embed plates; lintels,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-013,DEL-02-04,PKG-002,L-013,07-ENVELOPE,PKG-002,DEL-02-04,Insulated metal wall panels (R-20; factory-assembled),730,m2,185,135050,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-01; qty per ASM-15,MED,Upper wall cladding above masonry base; net of glazing and OH door openings,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-014,DEL-02-04,PKG-002,L-014,07-ENVELOPE,PKG-002,DEL-02-04,Concrete masonry unit - 200mm reinforced grouted (base course),200,m2,175,35000,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-03; qty per ASM-16,MED,Impact-resistant base course ~1.2m high around perimeter (165 lm x 1.2m),EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-015,DEL-02-04,PKG-002,L-015,07-ENVELOPE,PKG-002,DEL-02-04,Insulated metal roof panels (R-30; factory-assembled; solar-ready),1672,m2,210,351120,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-04; qty = building footprint area,MED,Standing seam or through-fastened; includes vapour barrier; structural capacity for future solar loading,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-016,DEL-02-04,PKG-002,L-016,07-ENVELOPE,PKG-002,DEL-02-04,Air/vapour barrier (self-adhered membrane - walls),730,m2,18,13140,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-08; qty = net wall panel area,MED,Continuous air barrier at wall panels; lapped and sealed at penetrations,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-017,DEL-02-04,PKG-002,L-017,07-ENVELOPE,PKG-002,DEL-02-04,Metal flashing and trim (pre-finished; all locations),380,lm,32,12160,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-15; qty per ASM-17,MED,Corners; drip edges; window heads/sills; parapet cap; base flashing,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-018,DEL-02-04,PKG-002,L-018,07-ENVELOPE,PKG-002,DEL-02-04,Perimeter sealant (all openings and joints),520,lm,16,8320,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-14; qty per ASM-18,MED,All window/door/penetration perimeters; panel joints,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-019,DEL-02-04,PKG-002,L-019,08-OPENINGS,PKG-002,DEL-02-04,Overhead doors (16x16 ft; motorized; insulated; car-wash grade; with windows),8,each,20000,160000,CAD,RATE_TABLE,Equipment_Pricing.csv > EQ-01; qty per PP-13,MED,4 fire apparatus bays + 4 PW shop bays; car-wash grade hardware,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-020,DEL-02-04,PKG-002,L-020,08-OPENINGS,PKG-002,DEL-02-04,Commercial glazing (double-pane; thermally broken aluminum frame),54,m2,650,35100,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-09; qty per ASM-19,MED,~5% of gross wall area for windows; fixed and operable mix,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-021,DEL-02-04,PKG-002,L-021,08-OPENINGS,PKG-002,DEL-02-04,Storefront entrance (double door; aluminum frame; glazed),2,each,8000,16000,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-10; qty per ASM-20,MED,Main public entry + secondary entry; standard operators (no auto-operator),EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-022,DEL-02-04,PKG-002,L-022,08-OPENINGS,PKG-002,DEL-02-04,Hollow metal door and frame - single (commercial),12,each,1800,21600,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-11; qty per ASM-21,MED,Person doors at bays and service exits; count per code egress requirements (ASM),EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-023,DEL-02-04,PKG-002,L-023,08-OPENINGS,PKG-002,DEL-02-04,Hollow metal door and frame - double (commercial),2,each,3400,6800,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-12; qty per ASM-22,MED,Double doors at main corridor/bay transitions,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-024,DEL-02-04,PKG-002,L-024,08-OPENINGS,PKG-002,DEL-02-04,Door hardware set (commercial; per opening),16,each,600,9600,CAD,RATE_TABLE,Building_Envelope_Rates.csv > BE-13; qty = 12 single + 2 double + 2 storefront,MED,Lever handle + closer + hinges + weatherstrip; keyed,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-025,DEL-02-04,PKG-002,L-025,09-FLOORING,PKG-002,DEL-02-04,Sealed concrete floor (densifier + sealer) - bay areas,1115,m2,35,39025,CAD,RATE_TABLE,Interior_Architectural_Rates.csv > IA-08; qty per ASM-03,MED,Densifier + sealer applied to 200mm reinforced bay slab,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-026,DEL-02-04,PKG-002,L-026,09-FLOORING,PKG-002,DEL-02-04,Sealed concrete floor (densifier + sealer) - office/shared areas,557,m2,35,19495,CAD,RATE_TABLE,Interior_Architectural_Rates.csv > IA-08; qty per ASM-04,MED,Sealed concrete acceptable/desired per Addendum 03 and SOW-0217,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-027,DEL-02-04,PKG-002,L-027,31-EARTHWORK,PKG-002,DEL-02-04,Sump rough-in blockouts in structural slab (8 locations),8,each,750,6000,CAD,RATE_TABLE,Assumptions_Log.md > ASM-23; informed by MS-10 reference,LOW,Formwork + blockout + sleeve for sump opening embedded in 200mm slab; assembly/plumbing by DEL-02-05,EST_DEL-02-04_2026-02-18_1130
DEL-02-04::L-028,DEL-02-04,PKG-002,L-028,50-DESIGN,PKG-002,DEL-02-04,Structural engineering design fees (2.5% of structural construction cost),1,LS,20801,20801,CAD,RATE_TABLE,Professional_Design_Fees.csv > DF-03; base per DEC-02,MED,2.5% of CBS 03-CONCRETE + 05-STEEL subtotal ($832058); concept through shop drawing review,EST_DEL-02-04_2026-02-18_1130
DEL-02-05::L-01,DEL-02-05,PKG-002,L-01,23-HVAC,PKG-002,DEL-02-05,HVAC system - institutional/shared areas (complete; RTUs/AHUs; ductwork; controls; diffusers),5200,sf,32,166400,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-01 (RecommendedRate $32/sf); PP-05 area zone split per ASM-01,MED,Heated and cooled office/admin/kitchen/locker areas,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-02,DEL-02-05,PKG-002,L-02,23-HVAC,PKG-002,DEL-02-05,HVAC system - apparatus bays (heated only; radiant or unit heaters),6400,sf,21,134400,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-02 (RecommendedRate $21/sf); PP-05 area zone split per ASM-01,MED,Simpler distribution; no cooling; 4 fire apparatus bays,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-03,DEL-02-05,PKG-002,L-03,23-HVAC,PKG-002,DEL-02-05,HVAC system - PW shop bays (heated only; radiant or unit heaters),6400,sf,21,134400,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-02 (RecommendedRate $21/sf); PP-05 area zone split per ASM-01,MED,Simpler distribution; no cooling; 4 PW shop bays,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-04,DEL-02-05,PKG-002,L-04,23-PLMB,PKG-002,DEL-02-05,Plumbing system - institutional/shared areas (complete; fixtures; piping; water heater; drain/vent),5200,sf,14,72800,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-03 (RecommendedRate $14/sf); PP-05 area zone split per ASM-01,MED,Washrooms; kitchen; showers; laundry rough-in,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-05,DEL-02-05,PKG-002,L-05,23-PLMB,PKG-002,DEL-02-05,Plumbing system - apparatus/shop bays (minimal fixtures; hose bibs),12800,sf,6,76800,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-04 (RecommendedRate $6/sf); combined bay area 6400+6400,MED,Bay sumps priced separately; this covers hose bibs and basic piping,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-06,DEL-02-05,PKG-002,L-06,23-EXHS,PKG-002,DEL-02-05,Vehicle exhaust extraction system - apparatus bays (source-capture; per bay),4,each,25000,100000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-06 (RecommendedRate $25000/bay); PP-11 qty=4,MED,Hose reel + overhead track + fan + duct to exterior; 2 apparatus per bay,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-07,DEL-02-05,PKG-002,L-07,23-EXHS,PKG-002,DEL-02-05,Shop bay ventilation system - PW bays (supply + exhaust; per bay),4,each,11000,44000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-07 (RecommendedRate $11000/bay); PP-12 qty=4,MED,Combined supply + exhaust; occasional idling and welding ventilation,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-08,DEL-02-05,PKG-002,L-08,23-EQUP,PKG-002,DEL-02-05,Water fill station (2-inch; installed; with backflow preventer),2,each,3500,7000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-09 (RecommendedRate $3500/each); PP-17 qty=2,MED,1 fire apparatus bay + 1 PW bay; per SOW-0223,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-09,DEL-02-05,PKG-002,L-09,23-EQUP,PKG-002,DEL-02-05,Bay sump assembly (oil/water separator type; installed with plumbing connection),8,each,4500,36000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-10 (RecommendedRate $4500/each); PP-18 qty=8,MED,4 fire bays + 4 PW bays; assembly + plumbing connection; slab rough-in excluded (DEL-02-04),EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-10,DEL-02-05,PKG-002,L-10,23-EQUP,PKG-002,DEL-02-05,Domestic hot water heater (commercial; gas-fired; 75-100 gal),1,each,6000,6000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-11 (RecommendedRate $6000/each),MED,Institutional duty; serves washrooms/showers/kitchen,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-11,DEL-02-05,PKG-002,L-11,23-CTRL,PKG-002,DEL-02-05,Building automation system (BAS; DDC controls; sensors; programming),18000,sf,4,72000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-12 (RecommendedRate $4/sf); PP-05 full building area,MED,DDC controls; sensors; programming; commissioning,EST_DEL-02-05_2026-02-18_1400
DEL-02-05::L-12,DEL-02-05,PKG-002,L-12,23-FPRT,PKG-002,DEL-02-05,Fire protection - wet sprinkler system (institutional; if required by AHJ),18000,sf,6,108000,CAD,RATE_TABLE,Mechanical_System_Rates.csv MS-05 (RecommendedRate $6/sf); PP-05 full building area,LOW,Conditional on AHJ requirement; may not be required for this occupancy classification,EST_DEL-02-05_2026-02-18_1400
