RiskUID,FromDeliverableID,RiskID,Title,Description,Likelihood,Impact,SourcePath
DEL-02-03::RSK-001,DEL-02-03,RSK-001,Scope Boundary,"Locker room and support space fit-up may be claimed by DEL-02-01 (general interior) during aggregation, resulting in double-counting or gaps at the project level.",MEDIUM,"HIGH ($95,060 at risk -- 44.8% of estimate)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-002,DEL-02-03,RSK-002,Area Uncertainty,"Support space areas are assumed, not confirmed. Actual floor plan may differ significantly, especially for locker room (1,200 sf assumed) which drives the largest CBS category.",HIGH,"MEDIUM ($15,000 +/- range on locker room lines)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-003,DEL-02-03,RSK-003,Allowance Accuracy,"5 ALLOWANCE items ($60,500 total) are based on professional judgment, not competitive pricing. Actual costs could vary +/- 40%.",MEDIUM,"MEDIUM ($24,000 +/- range)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-004,DEL-02-03,RSK-004,Wash Bay Option,"If Owner selects optional wash bay (SOW-0500), one PW bay is replaced, reducing bay count from 4 to 3. This reduces bay-area-driven costs by ~25% but adds wash bay conversion costs (separate DEL-05-01 estimate).",LOW,"LOW ($13,000 reduction in DEL-02-03)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-03::RSK-005,DEL-02-03,RSK-005,Missing Scope,"Items that could arguably belong to DEL-02-03 but were excluded per cost ownership rules: overhead doors ($80,000), HVAC/ventilation ($44,000+), electrical ($14/sf on 8,400 sf = ~$118,000), bay sumps ($18,000). Total excluded scope: ~$260,000. If cost ownership rules change, this estimate would increase significantly.",LOW,HIGH (potential 2x increase),/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-03_2026-02-18_1100/Risk_Register.md
DEL-02-05::RSK-01,DEL-02-05,RSK-01,"Fire protection may not be required by AHJ, leading to over-estimation of $108,000",MEDIUM,HIGH ($108k / 10.7% of total),AHJ confirmation during design phase; estimate clearly flags this as conditional with LOW confidence,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-05::RSK-02,DEL-02-05,RSK-02,"Actual building zone areas differ from assumed 6,400/6,400/5,200 split",MEDIUM,MEDIUM (~$15-20k per 10% area shift),Validate against architectural layout from DEL-02-01 when available; rerun estimate,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-05::RSK-03,DEL-02-05,RSK-03,Compressed air scope boundary (CON-M-01) resolution could add scope to DEL-02-05,LOW,"MEDIUM ($55,000 if breathing air system added per MS-08)","Brief excludes compressed air from DEL-02-05; if boundary ruling changes, add MS-08 pricing",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-05::RSK-04,DEL-02-05,RSK-04,BAS/controls scope may be broader or narrower than full-building application,LOW,MEDIUM ($20k-$72k range depending on coverage),Confirm BAS scope during design; adjust L-11 area as needed,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md
DEL-02-07::RISK-001,DEL-02-07,RISK-001,Generator System Cost Exceeds Allowance,Generator System Cost Exceeds Allowance,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-02-07::RISK-002,DEL-02-07,RISK-002,Scope Creep on Essential Loads List,Scope Creep on Essential Loads List,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-02-07::RISK-003,DEL-02-07,RISK-003,Double-Counting with Adjacent Deliverables,Double-Counting with Adjacent Deliverables,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-02-07::RISK-004,DEL-02-07,RISK-004,Seismic Anchorage Requirement,Seismic Anchorage Requirement,,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md
DEL-03-04::RSK-001,DEL-03-04,RSK-001,Actual utility run lengths significantly differ from assumed 120 m / 40 m due to actual stub locations and building siting,MEDIUM,HIGH,"+/-$30,000 to $40,000",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md
DEL-03-04::RSK-002,DEL-03-04,RSK-002,"DEC-004 tie-in allowance ($35,000) is insufficient to cover actual tie-in execution costs",MEDIUM,MEDIUM,"+$15,000 (if actual = $50,000 high end of UU-12 range)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md
DEL-03-04::RSK-003,DEL-03-04,RSK-003,Utility connection fees exceed recommended parametric values,MEDIUM,LOW,"+$10,000 to $20,000",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md
DEL-03-04::RSK-004,DEL-03-04,RSK-004,"Cold Storage Building requires additional utility services (sanitary, telecom) not currently included",LOW,LOW,"+$17,000 (sanitary $13K + telecom $4K)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md
DEL-03-04::RSK-005,DEL-03-04,RSK-005,Common trench double-counting (UU-09 cost additive to individual utility rates which include trench),LOW,LOW,"-$10,000 (overstatement)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md
DEL-03-04::RSK-006,DEL-03-04,RSK-006,"Unknown underground conditions (rock, contamination, high water table) increase trenching costs",LOW,HIGH,"+$20,000 to $50,000",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md
DEL-03-05::RSK-01,DEL-03-05,RSK-01,"AEPA conditions of Water Act approval impose additional mitigation requirements (e.g., construction-phase environmental monitoring, post-construction monitoring, additional setback buffers) that require consultant services beyond FP-17 scope.",MEDIUM,"MEDIUM ($10,000-$30,000 additional)",Confirm AEPA application status early in design phase; request pre-consultation with AEPA to scope conditions.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Risk_Register.md
DEL-03-05::RSK-02,DEL-03-05,RSK-02,"2021 Wetland Assessment and Environmental Assessment have lapsed or are deemed insufficient by AEPA, requiring new assessments.",LOW-MEDIUM,"HIGH ($15,000-$30,000+ for new assessments + new ABWRET-A calculation)",Confirm with AEPA whether 2021 reports remain accepted as basis for Water Act application.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Risk_Register.md
DEL-03-05::RSK-03,DEL-03-05,RSK-03,"ABWRET-A wetland replacement fee has been recalculated by AEPA at a different amount than the 2021 figure of $10,769.54.",LOW,"LOW-MEDIUM (delta could be +/- $2,000-$5,000)",Confirm current ABWRET-A fee with AEPA or through updated assessment.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Risk_Register.md
DEL-03-05::RSK-04,DEL-03-05,RSK-04,Town of Penhold imposes additional flood fringe development conditions requiring additional environmental consultant effort or additional regulatory applications.,LOW-MEDIUM,"MEDIUM ($5,000-$15,000)",Engage Town planning department early to confirm flood fringe development requirements.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Risk_Register.md
DEL-03-05::RSK-05,DEL-03-05,RSK-05,Upstream DEL-03-02 outputs reveal that stormwater discharge points or earthwork volumes near the flood fringe require additional environmental assessment or regulatory coordination.,MEDIUM,"MEDIUM ($5,000-$15,000)",Coordinate DEL-03-02 and DEL-03-05 concurrently; flag any flood fringe earthwork volumes for environmental review.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Risk_Register.md
DEL-04-01::RISK-001,DEL-04-01,RISK-001,Market,"PEMB manufacturer pricing may differ from parametric rate ($32/sf) due to steel market volatility, lead times, or regional supply constraints.",MEDIUM,"MEDIUM ($24,000 variance at range endpoints: $168K to $210K)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Risk_Register.md
DEL-04-01::RISK-002,DEL-04-01,RISK-002,Scope,"PB-01 parametric rate may exclude minor shell components (e.g., specialized flashing, snow guards, fall protection anchors) that could be required for code compliance.",LOW,"LOW (estimated $2,000-$8,000 for add-on items)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Risk_Register.md
DEL-04-01::RISK-003,DEL-04-01,RISK-003,Design,"Design engineering allowance ($10,000) may be insufficient if cold storage configuration requires more coordination effort than typical (e.g., complex aesthetic integration, specialized structural analysis).",LOW,"LOW ($5,000-$10,000 additional)",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Risk_Register.md
DEL-05-02::RSK-001,DEL-05-02,RSK-001,Actual pole quantity significantly differs from assumed 12 (could be 6-20 depending on site layout and spacing requirements),MEDIUM,"HIGH (total cost scales linearly at $7,500/pole)",Provide scaling formula to Owner; present as unit rate so total adjusts transparently,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Risk_Register.md
DEL-05-02::RSK-002,DEL-05-02,RSK-002,Conduit run distance materially longer or shorter than 100 lm assumed,MEDIUM,"MEDIUM (fixed cost changes at $80/lm; +/- $2,000-$4,000 likely range)",Update when site plan from DEL-03-01 is available,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Risk_Register.md
DEL-05-02::RSK-003,DEL-05-02,RSK-003,"Parametric-origin rates ($7,500/pole; $80/lm) may not reflect actual supplier pricing at time of procurement",LOW-MEDIUM,"MEDIUM (source range: $6,500-$9,000/pole; $65-$95/lm)",Obtain supplier quotes before final submission; consider using PriceMax for conservative estimate,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Risk_Register.md
DEL-05-02::RSK-004,DEL-05-02,RSK-004,Soil conditions or underground obstructions increase conduit installation cost,LOW,LOW-MEDIUM,Geotech investigation and utility locate as part of site development (DEL-03-02) would inform,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Risk_Register.md
DEL-05-03::RSK-001,DEL-05-03,RSK-001,Actual zone count exceeds 10 once DEL-02-01 floor plan is finalized,MEDIUM,"Each additional zone adds ~$3,200 (range $2,500-$4,000 per OPT-07). 5 extra zones = ~$16,000 increase.",Re-run estimate with confirmed zone count once DEL-02-01 is available. Carry OPT-07 per-zone rate for sensitivity analysis.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Risk_Register.md
DEL-05-03::RSK-002,DEL-05-03,RSK-002,Parametric pricing significantly understates or overstates actual vendor quote,MEDIUM,"OPT-06 range is $35,000-$55,000 (57% spread). Vendor quote could fall outside this range.",Replace with vendor quote as soon as available. Flag to Owner that this is a placeholder estimate.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Risk_Register.md
DEL-05-03::RSK-003,DEL-05-03,RSK-003,Scope boundary disputes at interface with DEL-02-06 (electrical/IT),LOW,"Conduit, low-voltage power, or network costs may be double-counted or missed between deliverables if interface is not clearly coordinated.",Enforce cost ownership rules from brief. Coordinate with DEL-02-06 estimate during aggregation.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Risk_Register.md
DEL-05-03::RSK-004,DEL-05-03,RSK-004,"Owner elects both access control (DEL-05-03) and security cameras (DEL-05-04), requiring integration",LOW,"Integration costs (shared head-end, software, wiring synergies) are not priced. Could be a cost savings or additional cost depending on system selection.","If both options are elected, re-scope for integration opportunities per Guidance.md.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Risk_Register.md
DEL-05-04::RSK-01,DEL-05-04,RSK-01,Camera count changes significantly once floor plan is finalized (DEL-02-01),MEDIUM,MEDIUM -- price range for OPT-08 is $40k-$60k; more cameras could exceed range,Re-estimate after DEL-02-01 layout is available; obtain vendor quote with actual camera schedule,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Risk_Register.md
DEL-05-04::RSK-02,DEL-05-04,RSK-02,Scope boundary between camera system (DEL-05-04) and IT infrastructure (DEL-02-06) is unclear for network equipment,MEDIUM,MEDIUM -- potential for double-count or cost gap in network switches/PoE,Coordinate DEL-05-04 and DEL-02-06 estimates; define explicit scope split for network equipment before final pricing,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Risk_Register.md
DEL-05-04::RSK-03,DEL-05-04,RSK-03,Parametric pricing significantly under- or over-estimates actual vendor quote,HIGH,HIGH -- all lines are LOW confidence; OPT-08 range spans $20k ($40k-$60k),Replace parametric pricing with competitive vendor quotes as soon as possible,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Risk_Register.md
DEL-05-04::RSK-04,DEL-05-04,RSK-04,"Monitoring service pricing does not reflect actual contract terms (multi-year, escalation, service levels)",MEDIUM,"LOW -- annual cost is $5,400; variance within $3,600-$7,200 range",Obtain monitoring service proposals; confirm contract structure (annual vs multi-year),/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Risk_Register.md
DEL-05-04::RSK-05,DEL-05-04,RSK-05,Integration with access control (DEL-05-03) adds unpriced cost if both options are elected,LOW,LOW -- integration cost likely modest relative to system total,"If both options are elected, add integration line item in a future estimate revision",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Risk_Register.md
