LineUID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,CostType,SourceSnapshot
DEL-04-02::L-02,L-02,PROF_SERVICES,PKG-06,DEL-04-02,Construction Manager -- budget control input,4,hr,155,620,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-04-02_2026-02-18_2400
DEL-04-03::L-001,L-001,LABOUR_PROFESSIONAL,PKG-06,DEL-04-03,Project Manager -- communications plan drafting,6,hr,175,1050,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-02,MEDIUM,,PRODUCTION,EST_DEL-04-03_2026-02-18_2345
DEL-04-03::L-002,L-002,LABOUR_PROFESSIONAL,PKG-06,DEL-04-03,Construction Manager -- construction phase communications input,4,hr,155,620,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-15,MEDIUM,,PRODUCTION,EST_DEL-04-03_2026-02-18_2345
DEL-05-01::L-001,L-001,FIN,PKG-02,DEL-05-01,Estimator (Senior) R-18 -- Schedule A compilation,40,hr,145,5800,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-18) + Level_of_Effort.csv,MED,PRODUCTION COST,PRODUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-002,L-002,FIN,PKG-02,DEL-05-01,Estimator (Intermediate) R-19 -- Schedule A support,24,hr,115,2760,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-19) + Level_of_Effort.csv,MED,PRODUCTION COST,PRODUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-003,L-003,MGMT,PKG-02,DEL-05-01,Project Manager R-02 -- Schedule A pricing strategy,8,hr,175,1400,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-02) + Level_of_Effort.csv,MED,PRODUCTION COST,PRODUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-010,L-010,GR,PKG-02,DEL-05-01,General Requirements,1,LS,1305000,1305000,CAD,PARAMETRIC,Assumed_Project_Parameters.csv + industry standard,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-011,L-011,STRUCT,PKG-02,DEL-05-01,Structural and Concrete (main PSB),1,LS,1320000,1320000,CAD,PARAMETRIC,Structural_Concrete_Rates.csv + Assumed_Project_Parameters.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-012,L-012,ENVLP,PKG-02,DEL-05-01,Building Envelope (main PSB),1,LS,980000,980000,CAD,PARAMETRIC,Building_Envelope_Rates.csv + Assumed_Project_Parameters.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-013,L-013,INTARCH,PKG-02,DEL-05-01,Interior Architectural (main PSB),1,LS,520000,520000,CAD,PARAMETRIC,Interior_Architectural_Rates.csv + Assumed_Project_Parameters.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-014,L-014,MECH,PKG-02,DEL-05-01,Mechanical Systems (main PSB),1,LS,1180000,1180000,CAD,PARAMETRIC,Mechanical_System_Rates.csv + Equipment_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-015,L-015,ELEC,PKG-02,DEL-05-01,Electrical Systems (main PSB),1,LS,810000,810000,CAD,PARAMETRIC,Electrical_System_Rates.csv + Equipment_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-016,L-016,CIVIL,PKG-02,DEL-05-01,Site and Civil Works (4.5 acres),1,LS,1230000,1230000,CAD,PARAMETRIC,Earthwork_Civil_Rates.csv + Paving_Surfacing_Rates.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-017,L-017,CIVIL,PKG-02,DEL-05-01,Underground Utilities,1,LS,350000,350000,CAD,PARAMETRIC,Underground_Utility_Rates.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-018,L-018,STRUCT,PKG-02,DEL-05-01,Cold Storage Building (6000 sf PEMB),1,LS,290000,290000,CAD,PARAMETRIC,Parametric_Building_Rates.csv + Assumed_Project_Parameters.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-019,L-019,EQUIP,PKG-02,DEL-05-01,Specialty Equipment + Temporary Facilities,1,LS,540000,540000,CAD,PARAMETRIC,Equipment_Pricing.csv + Assumed_Project_Parameters.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-020,L-020,DESFEE,PKG-02,DEL-05-01,Professional Design Fees,1,LS,780000,780000,CAD,PARAMETRIC,Professional_Design_Fees.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-021,L-021,FEES,PKG-02,DEL-05-01,Bonds and Insurance (5.45% combined),1,LS,474000,474000,CAD,PARAMETRIC,Fees_Permits_Insurance.csv + Assumed_Project_Parameters.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-022,L-022,FEES,PKG-02,DEL-05-01,Permits and Fees,1,LS,84000,84000,CAD,PARAMETRIC,Fees_Permits_Insurance.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-030,L-030,OPT,PKG-02,DEL-05-01,Additional Option 1 -- Built-in wash bay,1,LS,123000,123000,CAD,PARAMETRIC,Optional_Items_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-031,L-031,OPT,PKG-02,DEL-05-01,Additional Option 2 -- Yard lighting,1,LS,100000,100000,CAD,PARAMETRIC,Optional_Items_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-032,L-032,OPT,PKG-02,DEL-05-01,Additional Option 3 -- Building access control,1,LS,45000,45000,CAD,PARAMETRIC,Optional_Items_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-033,L-033,OPT,PKG-02,DEL-05-01,Additional Option 4 -- Security cameras,1,LS,55000,55000,CAD,PARAMETRIC,Optional_Items_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-034,L-034,OPT,PKG-02,DEL-05-01,Additional Option 5 -- Exterior signage,1,LS,12000,12000,CAD,PARAMETRIC,Optional_Items_Pricing.csv,LOW,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-035,L-035,OPT,PKG-02,DEL-05-01,Additional Option 6 -- FF&E cash allowance (OI-004),1,LS,20000,20000,CAD,ALLOWANCE,Optional_Items_Pricing.csv OPT-18,HIGH,CONSTRUCTION CONTENT,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-040,L-040,OPT,PKG-02,DEL-05-01,GST on base construction (5%),1,LS,493000,493000,CAD,PARAMETRIC,5% GST on base construction,MED,CONSTRUCTION CONTENT -- Tax,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-01::L-041,L-041,OPT,PKG-02,DEL-05-01,GST on Additional Options 1-6 (5%),1,LS,18000,18000,CAD,PARAMETRIC,5% GST on options,MED,CONSTRUCTION CONTENT -- Tax,CONSTRUCTION,EST_DEL-05-01_2026-02-18_1400
DEL-05-02::L-001,L-001,FIN,PKG-02,DEL-05-02,Estimator (Senior) R-18 -- Schedule B detailed cost breakdown,24,hr,145,3480,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-18) + Level_of_Effort.csv,MED,PRODUCTION COST,PRODUCTION,EST_DEL-05-02_2026-02-18_1500
DEL-05-02::L-002,L-002,FIN,PKG-02,DEL-05-02,Estimator (Intermediate) R-19 -- Schedule B support,16,hr,115,1840,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-19) + Level_of_Effort.csv,MED,PRODUCTION COST,PRODUCTION,EST_DEL-05-02_2026-02-18_1500
DEL-05-02::L-003,L-003,MGMT,PKG-02,DEL-05-02,Project Manager R-02 -- Schedule B review,4,hr,175,700,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-02) + Level_of_Effort.csv,MED,PRODUCTION COST,PRODUCTION,EST_DEL-05-02_2026-02-18_1500
DEL-05-03::L-001,L-001,MGMT,PKG-02,DEL-05-03,Project Manager -- pricing narrative authoring,12,hr,175,2100,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-02,MEDIUM,,PRODUCTION,EST_DEL-05-03_2026-02-18_1430
DEL-05-03::L-002,L-002,FIN,PKG-02,DEL-05-03,Estimator (Senior) -- pricing assumptions documentation,8,hr,145,1160,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-18,MEDIUM,,PRODUCTION,EST_DEL-05-03_2026-02-18_1430
DEL-06-01::L-001,L-001,PROPOSAL_PRODUCTION.Construction,PKG-07,DEL-06-01,Commissioning Lead -- commissioning approach etc.,16,hr,140,2240,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-21 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-06-01_2026-02-18_1400
DEL-06-01::L-002,L-002,PROPOSAL_PRODUCTION.Management,PKG-07,DEL-06-01,Project Manager -- closeout/warranty coordination,6,hr,175,1050,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-06-01_2026-02-18_1400
DEL-07-01::L-07-01-001,L-07-01-001,CBS-ADMIN,PKG-03,DEL-07-01,Proposal Coordinator / Writer -- firm experience narrative writing,16,hr,105,1680,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-22,MED,,PRODUCTION,EST_DEL-07-01_2026-02-18_2010
DEL-07-01::L-07-01-002,L-07-01-002,CBS-MGMT,PKG-03,DEL-07-01,Project Manager -- review and strategic input,4,hr,175,700,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-02,MED,,PRODUCTION,EST_DEL-07-01_2026-02-18_2010
DEL-07-02::L-07-02-01,L-07-02-01,ADMIN,PKG-03,DEL-07-02,HR Coordinator -- resume compilation and availability coordination,12,hr,85,1020,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-26,MED,,PRODUCTION,EST_DEL-07-02_2026-02-18_2130
DEL-07-02::L-07-02-02,L-07-02-02,ADMIN,PKG-03,DEL-07-02,Proposal Coordinator / Writer -- resume formatting,8,hr,105,840,CAD,RATE_TABLE,Level_of_Effort.csv + Professional_Staff_Rates.csv R-22,MED,,PRODUCTION,EST_DEL-07-02_2026-02-18_2130
DEL-07-03::L-07-03-001,L-07-03-001,PROPOSAL_PRODUCTION.ADMIN,PKG-03,DEL-07-03,Project Manager -- subtrade/consultant procurement coordination,8,hr,175,1400,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-07-03_2026-02-18_1500
DEL-07-03::L-07-03-002,L-07-03-002,PROPOSAL_PRODUCTION.ADMIN,PKG-03,DEL-07-03,Administrative / Document Control -- Appendix I form completion,4,hr,80,320,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-24 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-07-03_2026-02-18_1500
DEL-08-01::L-08-01-001,L-08-01-001,PROF-SCHED,PKG-08,DEL-08-01,Scheduler -- Gantt chart production,20,hr,130,2600,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-17 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-08-01_2026-02-18_1400
DEL-08-01::L-08-01-002,L-08-01-002,PROF-PM,PKG-08,DEL-08-01,Project Manager -- schedule review and alignment,8,hr,175,1400,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-08-01_2026-02-18_1400
DEL-08-01::L-08-01-003,L-08-01-003,PROF-CM,PKG-08,DEL-08-01,Construction Manager -- construction sequencing input,4,hr,155,620,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-08-01_2026-02-18_1400
DEL-09-01::L-0901-01,L-0901-01,CBS-MGMT,PKG-09,DEL-09-01,Project Manager -- risk identification + QMP coordination,10,hr,175,1750,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-09-01_2026-02-18_1500
DEL-09-01::L-0901-02,L-0901-02,CBS-MGMT,PKG-09,DEL-09-01,Quality Lead -- quality management plan authoring,8,hr,130,1040,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-23 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-09-01_2026-02-18_1500
DEL-09-01::L-0901-03,L-0901-03,CBS-CONST,PKG-09,DEL-09-01,Construction Manager -- construction risk input,4,hr,155,620,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-15 + Level_of_Effort.csv,MEDIUM,,PRODUCTION,EST_DEL-09-01_2026-02-18_1500
DEL-09-02::L-09-02-01,L-09-02-01,PROF-PM,PKG-09,DEL-09-02,Project Manager -- site conditions coordination,8,hr,175,1400,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-02 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-09-02_2026-02-18_1600
DEL-09-02::L-09-02-02,L-09-02-02,PROF-CIVIL,PKG-09,DEL-09-02,Civil Engineer (Senior) -- technical review of site conditions,6,hr,155,930,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-07 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-09-02_2026-02-18_1600
DEL-09-02::L-09-02-03,L-09-02-03,PROF-GEOTECH,PKG-09,DEL-09-02,Geotechnical Engineer -- existing geotech report interpretation,4,hr,155,620,CAD,RATE_TABLE,Professional_Staff_Rates.csv R-29 + Level_of_Effort.csv,MED,,PRODUCTION,EST_DEL-09-02_2026-02-18_1600
